n,p,shots,total_logical_error_rate,total_err_low,total_err_high,x_logical_error_rate,x_err_low,x_err_high,z_logical_error_rate,z_err_low,z_err_high,mean_objective_value,average_cpu_time_seconds
4,0.001,1000000,0.001023,6.170655416855005e-05,6.462538864423942e-05,0.001023,6.170655416855005e-05,6.462538864423942e-05,0.00054,4.458022384147466e-05,4.751327252300525e-05,0.0,0.0001601803891658783
4,0.0012742749857031334,1000000,0.001294,6.951037495789335e-05,7.242426752616287e-05,0.001294,6.951037495789335e-05,7.242426752616287e-05,0.000658,4.930757692111988e-05,5.2236019429223305e-05,0.0,0.0001671375787258148
4,0.0016237767391887208,1000000,0.001559,7.638015237499524e-05,7.929010138053557e-05,0.001559,7.638015237499524e-05,7.929010138053557e-05,0.000753,5.281159280062732e-05,5.573701944567081e-05,0.0,0.00016426338243484496
4,0.00206913808111479,1000000,0.002029,8.725064759003529e-05,9.015482512879456e-05,0.002026,8.718554311412793e-05,9.008975406607327e-05,0.001006,6.118420597331115e-05,6.410339467177056e-05,0.0,0.0001667222945690155
4,0.0026366508987303583,1000000,0.002625,9.934336107169945e-05,0.00010224146666697274,0.002624,9.932430385171205e-05,0.00010222241887384437,0.001292,6.945596483174657e-05,7.236988992486283e-05,0.0,0.00016056509280204772
4,0.003359818286283781,1000000,0.003352,0.00011234407221846678,0.00011523577045709308,0.003348,0.00011227667374278608,0.00011516840524515093,0.00171,8.003295618794139e-05,8.294091525306419e-05,0.0,0.00015154809761047362
4,0.004281332398719396,1000000,0.004248,0.00012653467602535828,0.00012941929505841127,0.004241,0.00012643003150503238,0.00012931470348692686,0.002082,8.839294188694221e-05,9.129653484596162e-05,0.0,0.00014339977860450745
4,0.00545559478116852,1000000,0.00549,0.00014388965988798314,0.00014676527405408073,0.005484,0.00014381091788297912,0.00014668657404618216,0.00271,0.00010095006379225212,0.00010384737546899033,0.0,0.00016182340574264525
4,0.0069519279617756054,1000000,0.006859,0.00016083517806885026,0.00016370146647841626,0.006841,0.00016062418935261242,0.00016349059762192728,0.003374,0.00011271403996691767,0.00011560555557495493,0.0,0.00010600772833824158
4,0.008858667904100823,1000000,0.008883,0.00018298014871263,0.0001858332735556658,0.008863,0.0001827747970499817,0.00018562804951255223,0.004434,0.00012928391275378575,0.00013216713565820937,0.0,7.03123710155487e-05
4,0.011288378916846888,1000000,0.011197,0.00020531428610484626,0.0002081528656050543,0.011161,0.0002049861295926013,0.00020782493262030619,0.005676,0.0001463093203044009,0.00014918363826827655,0.0,6.873472857475281e-05
4,0.01438449888287663,1000000,0.014184,0.00023085582052286523,0.00023367605949554428,0.014131,0.00023042847352601654,0.00023324903500804121,0.00712,0.00016386332673640723,0.0001667278838449306,0.0,6.911503982543945e-05
4,0.018329807108324356,1000000,0.018288,0.00026172139322742233,0.00026451687189730025,0.018202,0.0002611144064123168,0.0002639104004443296,0.00907,0.0001848888119572404,0.00018774074544109474,0.0,7.02343134880066e-05
4,0.023357214690901212,1000000,0.023131,0.0002937390948578554,0.00029650571234272546,0.023007,0.0002929666235837146,0.00029573397678187355,0.011598,0.0002089333125861719,0.0002117694069724424,0.0,7.181008791923522e-05
4,0.029763514416313176,1000000,0.029571,0.00033115600851025065,0.00033388457381963027,0.029355,0.0003299773634573948,0.00033270720095884485,0.014904,0.00023658067356857083,0.00023939653953291944,0.0,7.227857971191407e-05
4,0.0379269019073225,1000000,0.037573,0.00037186923313600045,0.00037455080234012617,0.037257,0.0003703586352932012,0.0003730420563187245,0.018884,0.0002658871109906119,0.00026867902132921354,0.0,7.149062919616699e-05
4,0.04832930238571752,1000000,0.048168,0.00041886053536053375,0.0004214801448057526,0.047539,0.0004162473230634664,0.00041887060519384817,0.024359,0.0003012719982693132,0.0003040313370971451,0.0,6.991390347480774e-05
4,0.06158482110660261,1000000,0.060326,0.0004658736276889827,0.0004684223434236537,0.059392,0.0004624744414821122,0.00046502859801778734,0.030459,0.00033595267470304044,0.0003386760122680785,0.0,7.26854407787323e-05
4,0.07847599703514611,1000000,0.077071,0.0005220049534202659,0.0005244562281107312,0.075493,0.0005170634435797961,0.0005195238939915553,0.039355,0.00038025707974084777,0.0003829282110166046,0.0,7.220627427101136e-05
4,0.1,1000000,0.097566,0.0005809080064798217,0.0005832401942727078,0.095072,0.0005742122629981555,0.0005765589351246353,0.050163,0.0004270199285393711,0.0004296278930998043,0.0,7.367356085777283e-05
6,0.001,1000000,0.000987,6.0595138127334316e-05,6.351473047344972e-05,0.000987,6.0595138127334316e-05,6.351473047344972e-05,0.000479,4.193209372781512e-05,4.4868067709779344e-05,0.0,7.228887557983399e-05
6,0.0012742749857031334,1000000,0.001312,6.999817887993684e-05,7.291178087632686e-05,0.001312,6.999817887993684e-05,7.291178087632686e-05,0.000666,4.961204214171534e-05,5.254021062247932e-05,0.0,7.289638543128967e-05
6,0.0016237767391887208,1000000,0.001642,7.840893071397385e-05,8.131776692078883e-05,0.001641,7.83847983120544e-05,8.12936476405205e-05,0.000809,5.47737057395209e-05,5.7697561854333675e-05,0.0,7.145570278167724e-05
6,0.00206913808111479,1000000,0.002014,8.692463901331508e-05,8.98289839746688e-05,0.002013,8.690286175165227e-05,8.980721790637731e-05,0.001023,6.170655416855005e-05,6.462538864423942e-05,0.0,7.089007019996643e-05
6,0.0026366508987303583,1000000,0.002623,9.930524297159038e-05,0.00010220336742267251,0.002623,9.930524297159038e-05,0.00010220336742267251,0.001291,6.942874391443815e-05,7.234268528815693e-05,0.0,6.957252597808839e-05
6,0.003359818286283781,1000000,0.003423,0.00011353370477593713,0.00011642481552718697,0.003423,0.00011353370477593713,0.00011642481552718697,0.001681,7.934440077730746e-05,8.225273034248668e-05,0.0,6.795666980743408e-05
