n,p,shots,total_logical_error_rate,total_err_low,total_err_high,x_logical_error_rate,x_err_low,x_err_high,z_logical_error_rate,z_err_low,z_err_high,mean_objective_value,average_cpu_time_seconds
7,0.001,100000,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,0.0,0.0,3.6888114157924206e-05,-1.4495071809506045e-17,0.0001045646333694
7,0.0012742749857031,100000,2e-05,1.7577898037296847e-05,5.224498936504791e-05,2e-05,1.7577898037296847e-05,5.224498936504791e-05,1e-05,9.746821952206667e-06,4.571516034774275e-05,-1.7053025658242406e-17,0.0001052300238609
7,0.0016237767391887,100000,5e-05,3.376494318294214e-05,6.667943042027702e-05,5e-05,3.376494318294214e-05,6.667943042027702e-05,2e-05,1.7577898037296847e-05,5.224498936504791e-05,-1.9895196601282805e-17,0.0001341320300102
7,0.0020691380811147,100000,7e-05,4.18559211949632e-05,7.422140092234864e-05,7e-05,4.18559211949632e-05,7.422140092234864e-05,2e-05,1.7577898037296847e-05,5.224498936504791e-05,-3.154809746774845e-17,0.0001540357494354
7,0.0026366508987303,100000,0.00011,5.5087158335423856e-05,8.681184115254098e-05,0.00011,5.5087158335423856e-05,8.681184115254098e-05,3e-05,2.3813236041077967e-05,5.767020256636201e-05,-3.581135388230905e-17,0.0001635289692878
7,0.0033598182862837,100000,0.00023,8.419432000115676e-05,0.0001150930651544,0.00023,8.419432000115676e-05,0.0001150930651544,4e-05,2.910124217254141e-05,6.241269060279137e-05,-4.888534022029489e-17,0.0001683884310722
7,0.0042813323987193,100000,0.00046,0.0001232031175587,0.0001535284192376,0.00046,0.0001232031175587,0.0001535284192376,0.00012,5.799276088264031e-05,8.960645805016375e-05,-5.201172825763933e-17,0.0001736409163475
7,0.0054555947811685,100000,0.00056,0.00013695515531,0.000167145778428,0.00056,0.00013695515531,0.000167145778428,0.0001,5.204510486098858e-05,8.389584537664978e-05,-7.16227077646181e-17,0.0001787219834327
7,0.0069519279617756,100000,0.00114,0.0001995513814986,0.0002293310636583,0.00113,0.0001986321587627,0.0002284163560551,0.00026,9.015256004237904e-05,0.0001209371998238,-1.0572875908110291e-16,0.0001856658363342
7,0.0088586679041008,100000,0.0015,0.0002302983928995,0.0002599426237213,0.0015,0.0002302983928995,0.0002599426237213,0.00037,0.0001094728939182,0.0001399605611549,-1.2050804798491299e-16,0.000190307264328
7,0.0112883789168468,100000,0.00242,0.0002950163580003,0.0003244405438023,0.00241,0.0002943875388237,0.0003238135878527,0.00055,0.0001356386918278,0.0001658412110354,-1.6200374375330282e-16,0.0001858106851577
7,0.0143844988828766,100000,0.00369,0.0003663439430571,0.000395576412796,0.00366,0.0003648176144738,0.0003940538858399,0.00088,0.0001741563009503,0.0002040739094869,-2.0577317627612494e-16,0.0001836647129058
7,0.0183298071083243,100000,0.00666,0.0004947689138591,0.0005236998444824,0.00655,0.0004906124397639,0.0005195529081026,0.00167,0.0002435160782502,0.0002731096020806,-2.5863755581667653e-16,0.0001823903369903
7,0.0233572146909012,100000,0.00976,0.0006000650611721,0.0006287503805721,0.00964,0.0005963406119691,0.0006250348342461,0.00248,0.0002987620922447,0.0003281752609467,-3.2429170460090972e-16,0.0002021658205986
7,0.0297635144163131,100000,0.0158,0.0007638233198092,0.0007920911593764,0.01553,0.000757288054421,0.0007855736923783,0.00441,0.0004012539782793,0.0004304016615007,-3.97335497837048e-16,0.0002075089168548
7,0.0379269019073225,100000,0.02488,0.0009565899054946,0.0009842808743446,0.02422,0.000944002147073,0.0009717340646233,0.00675,0.0004981436992343,0.0005270668835018,-4.919797902402933e-16,0.0002049863433837
